t, a, b, c, d, e, f
2.6750e-02, 15, -14, -6, 4, -31, -45
2.6800e-02, 15, -14, -6, 4, -31, -45
2.6850e-02, 18, -17, -6, 7, -31, -42
2.6900e-02, 18, -17, -6, 7, -31, -42
2.6950e-02, 17, -16, -5, 10, -31, -42
2.7000e-02, 17, -16, -5, 10, -31, -42
2.7050e-02, 21, -14, -3, 11, -30, -39
2.7100e-02, 21, -14, -3, 11, -30, -39
2.7150e-02, 21, -15, -6, 13, -28, -37
2.7200e-02, 21, -15, -6, 13, -28, -37
2.7250e-02, 21, -13, -5, 15, -26, -35
2.7300e-02, 21, -13, -5, 15, -26, -35
2.7350e-02, 19, -12, -4, 17, -25, -32
2.7400e-02, 19, -12, -4, 17, -25, -32
2.7450e-02, 20, -13, -2, 19, -25, -32
2.7500e-02, 20, -13, -2, 19, -25, -32
2.7550e-02, 18, -10, -3, 21, -22, -30
2.7600e-02, 18, -10, -3, 21, -22, -30
2.7650e-02, 16, -7, -2, 21, -21, -27
2.7700e-02, 16, -7, -2, 21, -21, -27
2.7750e-02, 14, -6, -3, 24, -20, -29
2.7800e-02, 14, -6, -3, 24, -20, -29
2.7850e-02, 13, -2, 0, 24, -17, -30
2.7900e-02, 13, -2, 0, 24, -17, -30
2.7950e-02, 10, -3, -2, 27, -18, -30
2.8000e-02, 10, -3, -2, 27, -18, -30
2.8050e-02, 8, 0, 2, 27, -14, -30
2.8100e-02, 8, 0, 2, 27, -14, -30
2.8150e-02, 7, 4, 7, 29, -10, -30
2.8200e-02, 7, 4, 7, 29, -10, -30
2.8250e-02, 5, 5, 4, 28, -10, -32
2.8300e-02, 5, 5, 4, 28, -10, -32
2.8350e-02, 5, 6, 5, 29, -6, -32
2.8400e-02, 5, 6, 5, 29, -6, -32
2.8450e-02, 1, 9, 6, 30, -5, -32
2.8500e-02, 1, 9, 6, 30, -5, -32
2.8550e-02, 3, 11, 9, 29, -3, -33
2.8600e-02, 3, 11, 9, 29, -3, -33
2.8650e-02, 2, 13, 10, 29, -2, -32
2.8700e-02, 2, 13, 10, 29, -2, -32
2.8750e-02, 5, 13, 13, 29, 2, -33
2.8800e-02, 5, 13, 13, 29, 2, -33
2.8850e-02, 5, 15, 8, 27, 3, -33
2.8900e-02, 5, 15, 8, 27, 3, -33
2.8950e-02, 2, 13, 12, 27, 7, -34
2.9000e-02, 2, 13, 12, 27, 7, -34
2.9050e-02, 6, 17, 12, 28, 10, -32
2.9100e-02, 6, 17, 12, 28, 10, -32
2.9150e-02, 5, 19, 15, 27, 12, -31
2.9200e-02, 5, 19, 15, 27, 12, -31
2.9250e-02, 5, 19, 15, 26, 13, -31
2.9300e-02, 5, 19, 15, 26, 13, -31
2.9350e-02, 9, 18, 15, 25, 15, -29
2.9400e-02, 9, 18, 15, 25, 15, -29
2.9450e-02, 10, 19, 18, 23, 17, -27
2.9500e-02, 10, 19, 18, 23, 17, -27
2.9550e-02, 10, 20, 16, 23, 19, -24
2.9600e-02, 10, 20, 16, 23, 19, -24
2.9650e-02, 10, 17, 17, 22, 21, -21
2.9700e-02, 10, 17, 17, 22, 21, -21
2.9750e-02, 11, 23, 20, 21, 22, -18
2.9800e-02, 11, 23, 20, 21, 22, -18
2.9850e-02, 13, 20, 18, 21, 23, -17
2.9900e-02, 13, 20, 18, 21, 23, -17
2.9950e-02, 13, 18, 19, 19, 23, -13
3.0000e-02, 13, 18, 19, 19, 23, -13
3.0050e-02, 14, 19, 18, 19, 23, -9
3.0100e-02, 14, 19, 18, 19, 23, -9
3.0150e-02, 13, 22, 19, 19, 24, -8
3.0200e-02, 13, 22, 19, 19, 24, -8
3.0250e-02, 8, 18, 18, 19, 25, -5
3.0300e-02, 8, 18, 18, 19, 25, -5
3.0350e-02, 9, 22, 15, 19, 25, -2
3.0400e-02, 9, 22, 15, 19, 25, -2
3.0450e-02, 9, 20, 18, 19, 25, 1
3.0500e-02, 9, 20, 18, 19, 25, 1
3.0550e-02, 4, 23, 18, 16, 25, 3
3.0600e-02, 4, 23, 18, 16, 25, 3
3.0650e-02, 6, 21, 14, 14, 25, 4
3.0700e-02, 6, 21, 14, 14, 25, 4
3.0750e-02, 3, 21, 13, 15, 24, 6
3.0800e-02, 3, 21, 13, 15, 24, 6
3.0850e-02, 2, 22, 12, 14, 24, 5
3.0900e-02, 2, 22, 12, 14, 24, 5
3.0950e-02, 1, 20, 10, 14, 22, 7
3.1000e-02, 1, 20, 10, 14, 22, 7
3.1050e-02, -2, 19, 9, 14, 22, 9
3.1100e-02, -2, 19, 9, 14, 22, 9
3.1150e-02, 0, 19, 7, 12, 21, 13
3.1200e-02, 0, 19, 7, 12, 21, 13
3.1250e-02, -5, 20, 7, 12, 20, 14
3.1300e-02, -5, 20, 7, 12, 20, 14
3.1350e-02, -5, 15, 3, 11, 17, 15
3.1400e-02, -5, 15, 3, 11, 17, 15
3.1450e-02, -7, 14, 1, 10, 15, 19
3.1500e-02, -7, 14, 1, 10, 15, 19
3.1550e-02, -6, 14, -1, 7, 14, 24
3.1600e-02, -6, 14, -1, 7, 14, 24
3.1650e-02, -6, 14, -2, 7, 13, 26
3.1700e-02, -6, 14, -2, 7, 13, 26
3.1750e-02, -9, 14, -3, 5, 12, 33
3.1800e-02, -9, 14, -3, 5, 12, 33
3.1850e-02, -9, 10, -4, 5, 10, 38
3.1900e-02, -9, 10, -4, 5, 10, 38
3.1950e-02, -11, 9, -8, 5, 9, 42
3.2000e-02, -11, 9, -8, 5, 9, 42
3.2050e-02, -9, 7, -6, 3, 8, 49
3.2100e-02, -9, 7, -6, 3, 8, 49
3.2150e-02, -10, 8, -9, 1, 6, 52
3.2200e-02, -10, 8, -9, 1, 6, 52
3.2250e-02, -10, 7, -10, 1, 6, 58
3.2300e-02, -10, 7, -10, 1, 6, 58
3.2350e-02, -12, 6, -12, 0, 5, 64
3.2400e-02, -12, 6, -12, 0, 5, 64
3.2450e-02, -11, 4, -12, 1, 6, 69
3.2500e-02, -11, 4, -12, 1, 6, 69
3.2550e-02, -15, 1, -13, -2, 6, 74
3.2600e-02, -15, 1, -13, -2, 6, 74
3.2650e-02, -14, 0, -14, -4, 6, 79
3.2700e-02, -14, 0, -14, -4, 6, 79
3.2750e-02, -16, -1, -12, -5, 5, 85
3.2800e-02, -16, -1, -12, -5, 5, 85
3.2850e-02, -18, 0, -13, -4, 5, 88
3.2900e-02, -18, 0, -13, -4, 5, 88
3.2950e-02, -17, -3, -13, -6, 5, 91
3.3000e-02, -17, -3, -13, -6, 5, 91
3.3050e-02, -18, -4, -14, -7, 6, 93
3.3100e-02, -18, -4, -14, -7, 6, 93
3.3150e-02, -19, -7, -16, -8, 8, 96
3.3200e-02, -19, -7, -16, -8, 8, 96
3.3250e-02, -20, -10, -12, -10, 8, 96
3.3300e-02, -20, -10, -12, -10, 8, 96
3.3350e-02, -22, -10, -10, -12, 8, 95
3.3400e-02, -22, -10, -10, -12, 8, 95
3.3450e-02, -22, -10, -12, -12, 9, 95
3.3500e-02, -22, -10, -12, -12, 9, 95
3.3550e-02, -19, -12, -9, -14, 10, 95
3.3600e-02, -19, -12, -9, -14, 10, 95
3.3650e-02, -20, -13, -7, -15, 10, 93
3.3700e-02, -20, -13, -7, -15, 10, 93
3.3750e-02, -21, -14, -6, -16, 10, 92
3.3800e-02, -21, -14, -6, -16, 10, 92
3.3850e-02, -18, -12, -6, -19, 11, 90
3.3900e-02, -18, -12, -6, -19, 11, 90
3.3950e-02, -13, -14, -3, -18, 11, 89
3.4000e-02, -13, -14, -3, -18, 11, 89
3.4050e-02, -12, -14, -1, -18, 11, 86
3.4100e-02, -12, -14, -1, -18, 11, 86
3.4150e-02, -12, -14, 0, -20, 11, 84
3.4200e-02, -12, -14, 0, -20, 11, 84
3.4250e-02, -11, -14, 2, -20, 12, 81
3.4300e-02, -11, -14, 2, -20, 12, 81
3.4350e-02, -7, -12, 2, -19, 11, 79
3.4400e-02, -7, -12, 2, -19, 11, 79
3.4450e-02, -8, -13, 3, -20, 11, 76
3.4500e-02, -8, -13, 3, -20, 11, 76
3.4550e-02, -9, -11, 5, -20, 11, 73
3.4600e-02, -9, -11, 5, -20, 11, 73
3.4650e-02, -6, -10, 6, -18, 11, 71
3.4700e-02, -6, -10, 6, -18, 11, 71
3.4750e-02, -3, -9, 7, -20, 12, 69
3.4800e-02, -3, -9, 7, -20, 12, 69
3.4850e-02, -3, -4, 8, -18, 12, 65
3.4900e-02, -3, -4, 8, -18, 12, 65
3.4950e-02, -6, -5, 8, -18, 12, 62
3.5000e-02, -6, -5, 8, -18, 12, 62
3.5050e-02, -4, -2, 6, -15, 12, 60
3.5100e-02, -4, -2, 6, -15, 12, 60
3.5150e-02, -2, -2, 7, -15, 13, 57
3.5200e-02, -2, -2, 7, -15, 13, 57
3.5250e-02, -1, 0, 9, -14, 13, 54
3.5300e-02, -1, 0, 9, -14, 13, 54
3.5350e-02, 1, 4, 9, -13, 15, 53
3.5400e-02, 1, 4, 9, -13, 15, 53
3.5450e-02, 2, 7, 9, -12, 14, 49
3.5500e-02, 2, 7, 9, -12, 14, 49
3.5550e-02, 4, 9, 11, -10, 14, 47
3.5600e-02, 4, 9, 11, -10, 14, 47
3.5650e-02, 6, 10, 9, -7, 15, 46
3.5700e-02, 6, 10, 9, -7, 15, 46
3.5750e-02, 10, 13, 8, -5, 15, 44
3.5800e-02, 10, 13, 8, -5, 15, 44
3.5850e-02, 12, 14, 7, -7, 15, 43
3.5900e-02, 12, 14, 7, -7, 15, 43
3.5950e-02, 15, 16, 8, -4, 14, 41
3.6000e-02, 15, 16, 8, -4, 14, 41
3.6050e-02, 16, 16, 8, -2, 11, 39
3.6100e-02, 16, 16, 8, -2, 11, 39
3.6150e-02, 18, 15, 6, 0, 10, 37
3.6200e-02, 18, 15, 6, 0, 10, 37
3.6250e-02, 19, 17, 6, 1, 8, 36
3.6300e-02, 19, 17, 6, 1, 8, 36
3.6350e-02, 23, 15, 6, 2, 6, 34
3.6400e-02, 23, 15, 6, 2, 6, 34
3.6450e-02, 23, 15, 3, 6, 5, 31
3.6500e-02, 23, 15, 3, 6, 5, 31
3.6550e-02, 24, 14, 3, 6, 0, 30
3.6600e-02, 24, 14, 3, 6, 0, 30
3.6650e-02, 24, 14, 3, 10, -2, 27
3.6700e-02, 24, 14, 3, 10, -2, 27
3.6750e-02, 25, 14, 3, 9, -4, 23
3.6800e-02, 25, 14, 3, 9, -4, 23
3.6850e-02, 25, 13, 1, 10, -6, 22
3.6900e-02, 25, 13, 1, 10, -6, 22
3.6950e-02, 27, 14, 2, 13, -11, 20
3.7000e-02, 27, 14, 2, 13, -11, 20
3.7050e-02, 26, 13, 0, 12, -14, 17
3.7100e-02, 26, 13, 0, 12, -14, 17
3.7150e-02, 25, 13, -2, 16, -15, 13
3.7200e-02, 25, 13, -2, 16, -15, 13
3.7250e-02, 25, 13, -2, 17, -18, 10
3.7300e-02, 25, 13, -2, 17, -18, 10
3.7350e-02, 27, 15, -2, 18, -19, 6
3.7400e-02, 27, 15, -2, 18, -19, 6
3.7450e-02, 24, 14, 1, 19, -20, 2
3.7500e-02, 24, 14, 1, 19, -20, 2
3.7550e-02, 22, 16, -1, 18, -23, -2
3.7600e-02, 22, 16, -1, 18, -23, -2
3.7650e-02, 20, 15, -3, 17, -23, -6
3.7700e-02, 20, 15, -3, 17, -23, -6
3.7750e-02, 23, 16, -2, 19, -24, -9
3.7800e-02, 23, 16, -2, 19, -24, -9
3.7850e-02, 20, 15, -2, 18, -25, -13
3.7900e-02, 20, 15, -2, 18, -25, -13
3.7950e-02, 19, 15, 0, 19, -24, -15
3.8000e-02, 19, 15, 0, 19, -24, -15
3.8050e-02, 17, 15, -2, 19, -24, -18
3.8100e-02, 17, 15, -2, 19, -24, -18
3.8150e-02, 18, 15, 0, 18, -25, -19
3.8200e-02, 18, 15, 0, 18, -25, -19
3.8250e-02, 18, 15, 0, 18, -24, -21
3.8300e-02, 18, 15, 0, 18, -24, -21
3.8350e-02, 16, 14, 1, 17, -22, -23
3.8400e-02, 16, 14, 1, 17, -22, -23
3.8450e-02, 15, 14, 2, 19, -24, -25
3.8500e-02, 15, 14, 2, 19, -24, -25
3.8550e-02, 14, 14, 0, 18, -24, -26
3.8600e-02, 14, 14, 0, 18, -24, -26
3.8650e-02, 14, 13, 4, 18, -24, -29
3.8700e-02, 14, 13, 4, 18, -24, -29
3.8750e-02, 11, 11, 6, 18, -23, -30
3.8800e-02, 11, 11, 6, 18, -23, -30
3.8850e-02, 13, 10, 5, 18, -23, -30
3.8900e-02, 13, 10, 5, 18, -23, -30
3.8950e-02, 12, 9, 7, 17, -23, -30
3.9000e-02, 12, 9, 7, 17, -23, -30
3.9050e-02, 12, 7, 7, 17, -22, -30
3.9100e-02, 12, 7, 7, 17, -22, -30
3.9150e-02, 10, 6, 8, 17, -22, -29
3.9200e-02, 10, 6, 8, 17, -22, -29
3.9250e-02, 10, 4, 9, 16, -21, -27
3.9300e-02, 10, 4, 9, 16, -21, -27
3.9350e-02, 13, 1, 7, 15, -21, -26
3.9400e-02, 13, 1, 7, 15, -21, -26
3.9450e-02, 13, -2, 8, 16, -22, -25
3.9500e-02, 13, -2, 8, 16, -22, -25
3.9550e-02, 14, -4, 9, 16, -22, -23
3.9600e-02, 14, -4, 9, 16, -22, -23
3.9650e-02, 16, -6, 11, 15, -22, -21
3.9700e-02, 16, -6, 11, 15, -22, -21
3.9750e-02, 16, -10, 9, 15, -22, -21
3.9800e-02, 16, -10, 9, 15, -22, -21
3.9850e-02, 19, -12, 13, 14, -22, -20
3.9900e-02, 19, -12, 13, 14, -22, -20
3.9950e-02, 20, -13, 9, 14, -22, -20
4.0000e-02, 20, -13, 9, 14, -22, -20
4.0050e-02, 19, -15, 10, 10, -21, -18
4.0100e-02, 19, -15, 10, 10, -21, -18
4.0150e-02, 20, -15, 12, 13, -21, -18
4.0200e-02, 20, -15, 12, 13, -21, -18
4.0250e-02, 17, -15, 11, 13, -21, -16
4.0300e-02, 17, -15, 11, 13, -21, -16
4.0350e-02, 20, -16, 11, 9, -22, -16
4.0400e-02, 20, -16, 11, 9, -22, -16
4.0450e-02, 18, -16, 12, 9, -21, -15
4.0500e-02, 18, -16, 12, 9, -21, -15
4.0550e-02, 16, -15, 10, 8, -20, -15
4.0600e-02, 16, -15, 10, 8, -20, -15
4.0650e-02, 14, -13, 10, 8, -21, -17
4.0700e-02, 14, -13, 10, 8, -21, -17
4.0750e-02, 11, -13, 9, 7, -20, -16
4.0800e-02, 11, -13, 9, 7, -20, -16
4.0850e-02, 10, -11, 8, 6, -18, -16
4.0900e-02, 10, -11, 8, 6, -18, -16
4.0950e-02, 9, -9, 5, 6, -18, -17
4.1000e-02, 9, -9, 5, 6, -18, -17
4.1050e-02, 7, -7, 5, 6, -16, -19
4.1100e-02, 7, -7, 5, 6, -16, -19
4.1150e-02, 6, -6, 4, 4, -15, -17
4.1200e-02, 6, -6, 4, 4, -15, -17
4.1250e-02, 6, -3, 3, 3, -14, -20
4.1300e-02, 6, -3, 3, 3, -14, -20
4.1350e-02, 3, -1, 0, 2, -11, -22
4.1400e-02, 3, -1, 0, 2, -11, -22
4.1450e-02, 2, 1, 0, 0, -10, -24
4.1500e-02, 2, 1, 0, 0, -10, -24
4.1550e-02, 3, 3, 1, 0, -10, -25
4.1600e-02, 3, 3, 1, 0, -10, -25
4.1650e-02, 1, 5, -3, 0, -7, -25
4.1700e-02, 1, 5, -3, 0, -7, -25
4.1750e-02, 2, 7, -5, -3, -4, -27
4.1800e-02, 2, 7, -5, -3, -4, -27
4.1850e-02, 2, 10, -6, 2, -6, -25
4.1900e-02, 2, 10, -6, 2, -6, -25
4.1950e-02, 5, 11, -7, -2, -3, -25
4.2000e-02, 5, 11, -7, -2, -3, -25
4.2050e-02, 4, 13, -7, -2, -1, -24
4.2100e-02, 4, 13, -7, -2, -1, -24
4.2150e-02, 8, 14, -9, -3, 1, -20
4.2200e-02, 8, 14, -9, -3, 1, -20
4.2250e-02, 7, 15, -8, -3, 2, -17
4.2300e-02, 7, 15, -8, -3, 2, -17
4.2350e-02, 9, 16, -10, -4, 4, -12
4.2400e-02, 9, 16, -10, -4, 4, -12
4.2450e-02, 9, 17, -8, -3, 5, -8
4.2500e-02, 9, 17, -8, -3, 5, -8
4.2550e-02, 12, 18, -13, -6, 6, -1
4.2600e-02, 12, 18, -13, -6, 6, -1
4.2650e-02, 13, 17, -12, -5, 6, 2
4.2700e-02, 13, 17, -12, -5, 6, 2
4.2750e-02, 13, 19, -12, -6, 8, 6
4.2800e-02, 13, 19, -12, -6, 8, 6
4.2850e-02, 14, 19, -12, -5, 7, 12
4.2900e-02, 14, 19, -12, -5, 7, 12
4.2950e-02, 13, 17, -12, -6, 9, 15
4.3000e-02, 13, 17, -12, -6, 9, 15
4.3050e-02, 12, 19, -12, -7, 10, 18
4.3100e-02, 12, 19, -12, -7, 10, 18
4.3150e-02, 11, 20, -12, -6, 11, 20
4.3200e-02, 11, 20, -12, -6, 11, 20
4.3250e-02, 11, 21, -13, -7, 10, 23
4.3300e-02, 11, 21, -13, -7, 10, 23
4.3350e-02, 9, 21, -13, -5, 11, 23
4.3400e-02, 9, 21, -13, -5, 11, 23
4.3450e-02, 7, 20, -12, -5, 12, 26
4.3500e-02, 7, 20, -12, -5, 12, 26
4.3550e-02, 6, 21, -12, -3, 13, 25
4.3600e-02, 6, 21, -12, -3, 13, 25
4.3650e-02, 5, 20, -10, -2, 13, 25
4.3700e-02, 5, 20, -10, -2, 13, 25
4.3750e-02, 3, 22, -9, -4, 14, 22
4.3800e-02, 3, 22, -9, -4, 14, 22
4.3850e-02, 2, 21, -8, -2, 14, 23
4.3900e-02, 2, 21, -8, -2, 14, 23
4.3950e-02, 0, 22, -8, -1, 13, 22
4.4000e-02, 0, 22, -8, -1, 13, 22
4.4050e-02, -2, 21, -6, 2, 17, 20
4.4100e-02, -2, 21, -6, 2, 17, 20
4.4150e-02, -3, 22, -4, 4, 16, 20
4.4200e-02, -3, 22, -4, 4, 16, 20
4.4250e-02, -3, 21, -1, 6, 17, 18
4.4300e-02, -3, 21, -1, 6, 17, 18
4.4350e-02, -5, 20, 1, 9, 18, 16
4.4400e-02, -5, 20, 1, 9, 18, 16
4.4450e-02, -6, 19, 3, 10, 21, 15
4.4500e-02, -6, 19, 3, 10, 21, 15
4.4550e-02, -7, 18, 3, 14, 22, 13
4.4600e-02, -7, 18, 3, 14, 22, 13
4.4650e-02, -7, 17, 7, 12, 24, 12
4.4700e-02, -7, 17, 7, 12, 24, 12
4.4750e-02, -8, 14, 8, 15, 23, 13
4.4800e-02, -8, 14, 8, 15, 23, 13
4.4850e-02, -8, 15, 9, 13, 24, 13
4.4900e-02, -8, 15, 9, 13, 24, 13
4.4950e-02, -8, 14, 12, 18, 25, 12
4.5000e-02, -8, 14, 12, 18, 25, 12
4.5050e-02, -8, 12, 14, 20, 26, 11
4.5100e-02, -8, 12, 14, 20, 26, 11
4.5150e-02, -10, 11, 17, 21, 25, 8
4.5200e-02, -10, 11, 17, 21, 25, 8
4.5250e-02, -10, 9, 19, 22, 26, 10
4.5300e-02, -10, 9, 19, 22, 26, 10
4.5350e-02, -9, 9, 22, 25, 28, 9
4.5400e-02, -9, 9, 22, 25, 28, 9
4.5450e-02, -13, 8, 21, 25, 30, 10
4.5500e-02, -13, 8, 21, 25, 30, 10
4.5550e-02, -13, 7, 23, 26, 29, 10
4.5600e-02, -13, 7, 23, 26, 29, 10
4.5650e-02, -16, 6, 25, 25, 30, 13
4.5700e-02, -16, 6, 25, 25, 30, 13
4.5750e-02, -16, 5, 27, 25, 32, 13
4.5800e-02, -16, 5, 27, 25, 32, 13
4.5850e-02, -17, 4, 26, 29, 32, 16
4.5900e-02, -17, 4, 26, 29, 32, 16
4.5950e-02, -18, 2, 30, 29, 31, 17
4.6000e-02, -18, 2, 30, 29, 31, 17
4.6050e-02, -19, 2, 30, 27, 30, 21
4.6100e-02, -19, 2, 30, 27, 30, 21
4.6150e-02, -21, -1, 31, 29, 33, 25
4.6200e-02, -21, -1, 31, 29, 33, 25
4.6250e-02, -20, -3, 32, 29, 32, 27
4.6300e-02, -20, -3, 32, 29, 32, 27
4.6350e-02, -22, -4, 31, 31, 33, 28
4.6400e-02, -22, -4, 31, 31, 33, 28
4.6450e-02, -21, -5, 30, 30, 32, 34
4.6500e-02, -21, -5, 30, 30, 32, 34
4.6550e-02, -20, -5, 32, 29, 35, 37
4.6600e-02, -20, -5, 32, 29, 35, 37
4.6650e-02, -19, -8, 33, 31, 34, 39
4.6700e-02, -19, -8, 33, 31, 34, 39
4.6750e-02, -18, -8, 29, 30, 36, 42
4.6800e-02, -18, -8, 29, 30, 36, 42
4.6850e-02, -16, -11, 30, 29, 35, 43
4.6900e-02, -16, -11, 30, 29, 35, 43
4.6950e-02, -15, -11, 31, 29, 36, 45
4.7000e-02, -15, -11, 31, 29, 36, 45
4.7050e-02, -13, -14, 29, 26, 35, 41
4.7100e-02, -13, -14, 29, 26, 35, 41
4.7150e-02, -9, -11, 29, 29, 38, 44
4.7200e-02, -9, -11, 29, 29, 38, 44
4.7250e-02, -10, -13, 27, 26, 38, 43
4.7300e-02, -10, -13, 27, 26, 38, 43
4.7350e-02, -9, -13, 27, 25, 41, 43
4.7400e-02, -9, -13, 27, 25, 41, 43
4.7450e-02, -6, -15, 27, 25, 40, 42
4.7500e-02, -6, -15, 27, 25, 40, 42
4.7550e-02, -6, -14, 26, 25, 39, 40
4.7600e-02, -6, -14, 26, 25, 39, 40
4.7650e-02, -6, -14, 23, 25, 39, 39
4.7700e-02, -6, -14, 23, 25, 39, 39
4.7750e-02, -4, -12, 23, 20, 43, 39
4.7800e-02, -4, -12, 23, 20, 43, 39
4.7850e-02, -5, -11, 21, 20, 44, 39
4.7900e-02, -5, -11, 21, 20, 44, 39
4.7950e-02, -4, -12, 18, 19, 45, 35
4.8000e-02, -4, -12, 18, 19, 45, 35
4.8050e-02, -1, -9, 19, 19, 49, 36
4.8100e-02, -1, -9, 19, 19, 49, 36
4.8150e-02, -1, -9, 17, 13, 48, 37
4.8200e-02, -1, -9, 17, 13, 48, 37
4.8250e-02, -1, -7, 15, 16, 45, 36
4.8300e-02, -1, -7, 15, 16, 45, 36
4.8350e-02, 1, -4, 15, 13, 49, 35
4.8400e-02, 1, -4, 15, 13, 49, 35
4.8450e-02, 5, -4, 13, 14, 48, 36
4.8500e-02, 5, -4, 13, 14, 48, 36
4.8550e-02, 5, 0, 14, 9, 48, 32
4.8600e-02, 5, 0, 14, 9, 48, 32
4.8650e-02, 8, 1, 14, 9, 44, 29
4.8700e-02, 8, 1, 14, 9, 44, 29
4.8750e-02, 12, 4, 12, 8, 46, 28
4.8800e-02, 12, 4, 12, 8, 46, 28
4.8850e-02, 13, 7, 11, 7, 46, 27
4.8900e-02, 13, 7, 11, 7, 46, 27
4.8950e-02, 14, 9, 11, 6, 45, 24
4.9000e-02, 14, 9, 11, 6, 45, 24
4.9050e-02, 17, 12, 11, 6, 45, 21
4.9100e-02, 17, 12, 11, 6, 45, 21
4.9150e-02, 18, 13, 9, 2, 41, 17
4.9200e-02, 18, 13, 9, 2, 41, 17
4.9250e-02, 24, 10, 10, 1, 40, 13
4.9300e-02, 24, 10, 10, 1, 40, 13
4.9350e-02, 23, 14, 10, -1, 38, 12
4.9400e-02, 23, 14, 10, -1, 38, 12
4.9450e-02, 23, 15, 10, -4, 37, 7
4.9500e-02, 23, 15, 10, -4, 37, 7
4.9550e-02, 25, 15, 10, -4, 37, 4
4.9600e-02, 25, 15, 10, -4, 37, 4
4.9650e-02, 26, 16, 10, -5, 34, 0
4.9700e-02, 26, 16, 10, -5, 34, 0
4.9750e-02, 25, 17, 13, -6, 33, 2
4.9800e-02, 25, 17, 13, -6, 33, 2
4.9850e-02, 27, 14, 10, -9, 31, -2
4.9900e-02, 27, 14, 10, -9, 31, -2
4.9950e-02, 28, 15, 10, -10, 30, -4
5.0000e-02, 28, 15, 10, -10, 30, -4
5.0050e-02, 26, 15, 13, -15, 27, -6
5.0100e-02, 26, 15, 13, -15, 27, -6
5.0150e-02, 26, 14, 12, -12, 26, -8
5.0200e-02, 26, 14, 12, -12, 26, -8
5.0250e-02, 23, 16, 12, -13, 23, -8
5.0300e-02, 23, 16, 12, -13, 23, -8
5.0350e-02, 25, 14, 12, -15, 22, -9
5.0400e-02, 25, 14, 12, -15, 22, -9
5.0450e-02, 21, 13, 13, -15, 21, -13
5.0500e-02, 21, 13, 13, -15, 21, -13
5.0550e-02, 22, 14, 13, -17, 17, -14
5.0600e-02, 22, 14, 13, -17, 17, -14
5.0650e-02, 21, 13, 12, -19, 16, -16
5.0700e-02, 21, 13, 12, -19, 16, -16
5.0750e-02, 20, 16, 14, -20, 19, -17
5.0800e-02, 20, 16, 14, -20, 19, -17
5.0850e-02, 20, 16, 13, -21, 13, -21
5.0900e-02, 20, 16, 13, -21, 13, -21
5.0950e-02, 21, 15, 13, -22, 14, -25
5.1000e-02, 21, 15, 13, -22, 14, -25
5.1050e-02, 20, 16, 13, -22, 12, -26
5.1100e-02, 20, 16, 13, -22, 12, -26
5.1150e-02, 20, 11, 13, -24, 9, -32
5.1200e-02, 20, 11, 13, -24, 9, -32
5.1250e-02, 18, 15, 12, -22, 8, -33
5.1300e-02, 18, 15, 12, -22, 8, -33
5.1350e-02, 17, 15, 9, -24, 4, -38
5.1400e-02, 17, 15, 9, -24, 4, -38
5.1450e-02, 15, 16, 11, -26, 0, -42
5.1500e-02, 15, 16, 11, -26, 0, -42
5.1550e-02, 15, 13, 8, -27, 0, -44
5.1600e-02, 15, 13, 8, -27, 0, -44
5.1650e-02, 14, 14, 10, -23, -4, -47
5.1700e-02, 14, 14, 10, -23, -4, -47
5.1750e-02, 13, 13, 8, -23, -6, -51
5.1800e-02, 13, 13, 8, -23, -6, -51
5.1850e-02, 11, 12, 6, -24, -9, -50
5.1900e-02, 11, 12, 6, -24, -9, -50
5.1950e-02, 10, 12, 7, -22, -14, -55
5.2000e-02, 10, 12, 7, -22, -14, -55
5.2050e-02, 9, 13, 6, -23, -17, -55
5.2100e-02, 9, 13, 6, -23, -17, -55
5.2150e-02, 10, 11, 4, -22, -15, -55
5.2200e-02, 10, 11, 4, -22, -15, -55
5.2250e-02, 10, 11, 3, -20, -20, -55
5.2300e-02, 10, 11, 3, -20, -20, -55
5.2350e-02, 12, 9, 3, -19, -25, -54
5.2400e-02, 12, 9, 3, -19, -25, -54
5.2450e-02, 15, 7, 2, -17, -27, -55
5.2500e-02, 15, 7, 2, -17, -27, -55
5.2550e-02, 16, 5, 2, -16, -26, -54
5.2600e-02, 16, 5, 2, -16, -26, -54
5.2650e-02, 18, 0, 1, -14, -29, -55
5.2700e-02, 18, 0, 1, -14, -29, -55
5.2750e-02, 19, 2, -2, -10, -29, -55
5.2800e-02, 19, 2, -2, -10, -29, -55
5.2850e-02, 19, -2, -2, -9, -31, -53
5.2900e-02, 19, -2, -2, -9, -31, -53
5.2950e-02, 20, -4, -1, -4, -30, -54
5.3000e-02, 20, -4, -1, -4, -30, -54
5.3050e-02, 18, -5, -2, -5, -31, -53
5.3100e-02, 18, -5, -2, -5, -31, -53
5.3150e-02, 20, -9, -3, -4, -31, -53
5.3200e-02, 20, -9, -3, -4, -31, -53
5.3250e-02, 19, -11, -4, 2, -30, -51
5.3300e-02, 19, -11, -4, 2, -30, -51
5.3350e-02, 18, -13, -4, 2, -34, -49
5.3400e-02, 18, -13, -4, 2, -34, -49
5.3450e-02, 16, -13, -4, 4, -31, -48
5.3500e-02, 16, -13, -4, 4, -31, -48
5.3550e-02, 15, -15, -5, 7, -33, -45
